Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	5597-44	2020-08-14	2020-08-17	NOFRILLS ROD&JOES	6.18	CAD	6.18	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04011	BIRCHMOUNT CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FREEZIES
"PARKS, FORESTRY & RECREATION"	5597-45	2020-08-14	2020-08-17	DOLLARAMA # 843	27.69	CAD	27.69	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P04011	BIRCHMOUNT CC-SUMMER CAMPS	5310	Discount Stores	SENSORY OBJECTS
"PARKS, FORESTRY & RECREATION"	5605-21	2020-08-26	2020-08-27	DOLLARAMA # 230	30.00	CAD	30.00	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P04011	BIRCHMOUNT CC-SUMMER CAMPS	5310	Discount Stores	PRIZES
"PARKS, FORESTRY & RECREATION"	5605-22	2020-08-26	2020-08-27	METRO #37	9.58	CAD	9.58	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04011	BIRCHMOUNT CC-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	FREEZIES
					132.47	CAD	132.47	CAD							
FIRE SERVICES	5597-46	2020-08-13	2020-08-17	STAR METROLAND SBSCRP	22.59	CAD	22.59	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	FR0012	ADMIN-HEADQUARTERS	5192	"Books, Periodicals, and Newspapers"	TORONTO STAR MONTHLY SUBSCRIPTION
					22.59	CAD	22.59	CAD							
FACILITIES MANAGEMENT	5591-35	2020-08-06	2020-08-07	VAUGHAN ELECTRICAL SUP	395.50	CAD	395.50	CAD	2575	ELECTRICAL SUPPLIES	61612931	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1731	Electrical Contractors	100AMP BREAKER 3PH
FACILITIES MANAGEMENT	5601-23	2020-08-19	2020-08-21	THE HOME DEPOT #7129	98.45	CAD	98.45	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61614004	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  TOOLS
FACILITIES MANAGEMENT	5601-24	2020-08-19	2020-08-21	THE HOME DEPOT #7129	32.13	CAD	32.13	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61614004	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  GREEN TAPE
FACILITIES MANAGEMENT	5605-23	2020-08-26	2020-08-27	RTA ELECTRONIC MOTOR C	673.48	CAD	673.48	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61619980	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5999	Miscellaneous and Specialty Retail Store	FAN MOTOR
					"1,199.56"	CAD	"1,199.56"	CAD							
"PARKS, FORESTRY & RECREATION"	5586-45	2020-07-31	2020-08-03	DOLLARAMA #1047	58.20	CAD	58.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02854	C-GENERAL-SPORTS & REC-YOUTH-SP. NEEDS.	5310	Discount Stores	CAMP SUPPLIES
