Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	5837-2	2021-07-02	2021-07-05	THE HOME DEPOT #7107	303.97	CAD	303.97	CAD	2715	PAINT SUPPLIES	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	PREMIUM
"PARKS, FORESTRY & RECREATION"	5839-1	2021-07-06	2021-07-07	SILVER MILE HARDWARE	237.28	CAD	237.28	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5072	Hardware Equipment and Supplies	HAND SAW
"PARKS, FORESTRY & RECREATION"	5843-2	2021-07-09	2021-07-12	ALPINE LAWN GARDEN EQU	161.70	CAD	161.70	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P00272	E-SOUTH2-TURF&HORT	5251	Hardware Stores	HEDGE TRIMMER SHARPENING
					781.94	CAD	781.94	CAD							
FACILITIES MANAGEMENT	5836-1	2021-06-30	2021-07-02	UNITED REFRIGERATION	"1,791.86"	CAD	"1,791.86"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61707542	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	2 PORTABLE AC UNITS PURCHASED
FACILITIES MANAGEMENT	5836-2	2021-06-30	2021-07-02	UNITED REFRIGERATION	948.93	CAD	948.93	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61705060	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	PORTABLE AC INSTALLED
FACILITIES MANAGEMENT	5837-3	2021-07-02	2021-07-05	ONTARIO HEATING ROGERS	39.75	CAD	39.75	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61707398	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	THERMOSTAT WIRE
FACILITIES MANAGEMENT	5843-3	2021-07-09	2021-07-12	RYAN FILTER SALES INC	59.66	CAD	59.66	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61703021	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	7349	"Cleaning and Maintenance, Janitorial Ser"	FILTERS
FACILITIES MANAGEMENT	5843-4	2021-07-09	2021-07-12	MITS AIRCONDITIONING I	616.52	CAD	616.52	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61707692	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	POWER BOARDS
FACILITIES MANAGEMENT	5844-1	2021-07-08	2021-07-13	UNITED REFRIGERATION	55.78	CAD	55.78	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61706752	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	PARTS 1
